Topic,Date Published,Article Name,Author,Link
Polynomial Commitments,09/03/2020,Fast amortized Kate proofs,Dankrad Feist and Dmitry Khovratovich,https://github.com/khovratovich/Kate/blob/master/Kate_amortized.pdf
Polynomial Commitments,01/06/2020,Updating and generating Kate witnesses in amortized sqrt(n) time,Vitalik Buterin,https://ethresear.ch/t/updating-and-generating-kate-witnesses-in-amortized-sqrt-n-time/7520
Polynomial Commitments,16/06/2020,KZG Polynomial Commitments,Dankrad Feist,https://dankradfeist.de/ethereum/cryptography/2020/06/16/kate-polynomial-commitments.html
Polynomial Commitments,01/07/2020,A minimum-viable KZG polynomial commitment scheme implementation,Koh Wei Jie,https://ethresear.ch/t/a-minimum-viable-kzg-polynomial-commitment-scheme-implementation/7675
Polynomial Commitments,01/10/2020,2D Data Availability with Kate Commitments,Vitalik Buterin,https://ethresear.ch/t/2d-data-availability-with-kate-commitments/8081
Polynomial Commitments,01/10/2020,Should ETH 1.x commit to contract code using Kate commitments,Brian Cloutier,https://ethresear.ch/t/should-eth-1-x-commit-to-contract-code-using-kate-commitments/8143
Polynomial Commitments,07/06/2021,KVaC (Key-Value Commitments) for Stateless Validation,Srinivasan Raghuraman,https://ethresear.ch/t/kvac-key-value-commitments-for-stateless-validation/9769
"Polynomial Commitments, State Expiry",18/06/2021,PCS Multiproofs Using Random Evaluation,Dankrad Feist,https://dankradfeist.de/ethereum/cryptography/2021/06/18/pcs-multiproofs.html
"Polynomial Commitments, State Expiry, General",25/05/2021,Kate Commitments in Eth,G11Tech,https://hackmd.io/yqfI6OPlRZizv9yPaD-8IQ?view
Portal Network,01/01/2004,Reliable Peer-to-peer End System Multicasting through Replication,"Jianjun Zhang,Ling Liu, Calton Pu, Mostafa Ammar",https://www.cc.gatech.edu/projects/disl/GeoGrid/files/reliable-peer-to-peer.pdf
Portal Network,01/02/2020,Some cold storage numbers,Brian Cloutier,https://notes.ethereum.org/@lithp/HymFXB8gu
Portal Network,30/01/2021,The Eth1x Glossary,Piper Merriam,https://github.com/ethereum/portal-network-specs/wiki/Glossary
Portal Network,24/02/2021,Bridge Node JSON-RPC Interface,Brian Cloutier,https://notes.ethereum.org/@lithp/r1NB6M4Gu
Portal Network,01/03/2021,Gossip for DHT State Network,Piper Merriam,https://notes.ethereum.org/Fhh0MKOCRgyDdNcw6a9h6w
Portal Network,18/03/2021,Scalable Gossip for state network,Piper Merriam,https://ethresear.ch/t/scalable-gossip-for-state-network/8958
Portal Network,24/03/2021,State Network DHT - Development Update #2,Piper Merriam,https://ethresear.ch/t/state-network-dht-development-update-2/9005
Portal Network,31/03/2021,"Beam Sync in 80 Seconds, Using Meta-Witnesses",Jason Carver,https://snakecharmers.ethereum.org/beam-sync-in-80-seconds-using-meta-witnesses/
Portal Network,01/05/2021,Ethereum Consensus Upgrade (Execution-layer perspective),Mikhail Kalinin,https://hackmd.io/@n0ble/ethereum_consensus_upgrade_mainnet_perspective
Portal Network,01/07/2021,Notes on Header Accumulation and the Portal Network,Piper Merriam,https://notes.ethereum.org/KaMqlqxiQLCWyDoXCUCC4Q
Portal Network,01/07/2021,Extensible Discover V5 Sub-Protocol Architecture,Piper Merriam,https://notes.ethereum.org/tPzmxQD_S3S3uvtpUSA0-g
Portal Network,01/08/2021,Chain History Storage Network,Jacob Kaufmann,https://hackmd.io/ctTNH9xsSu2ci9DeGidUsQ?view
Portal Network,01/10/2021,Portal Network Specs,Various,https://github.com/ethereum/portal-network-specs
"Portal Network, Light Clients",11/03/2021,Minimal Light Client,Hsiao-Wei Wang,https://github.com/ethereum/consensus-specs/blob/a465f21deb5df945ff629b87d3b1de229cbceb3f/specs/altair/sync-protocol.md
"Portal Network, Light Clients",22/06/2021,Introducing Fluffy - an ultra-light client for Ethereum,Sacha From Status,https://our.status.im/nimbus-fluffly/
PoS Consensus,01/07/2018,Beacon Chain Casper Mini-Spec,Vitalik Buterin,https://ethresear.ch/t/beacon-chain-casper-mini-spec/2760
PoS Consensus,06/03/2019,EIP-1829: Precompile for Elliptic Curve Linear Combinations,Remco Bloemen,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-1829.md
PoS Consensus,22/04/2019,EIP-1962: EC Arithmetic and Pairings with runtime definitions,Alex Vlasov,https://eips.ethereum.org/EIPS/eip-1962
PoS Consensus,06/08/2019,Two Point Oh: Series,Bruno Skvorc,https://our.status.im/tag/two-point-oh/
PoS Consensus,22/08/2019,Basic Beacon API,Paul Hauner,https://github.com/ethereum/beacon-APIs/pull/3
PoS Consensus,26/06/2021,An ica age in PoS - merits and potential implementation,Yorick Downe,https://ethereum-magicians.org/t/an-ice-age-in-pos-merits-and-potential-implementation/6557
PoS Consensus,27/07/2021,Fork Identifier for chain compatibility checks,Peter Szilagyi and Felix Lange,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-2124.md
PoS Consensus,05/08/2021,A model for cumulative committee-based finality,Vitalik Buterin,https://ethresear.ch/t/a-model-for-cumulative-committee-based-finality/10259
PoS Consensus,25/08/2021,Finalized no. 28 - The Ethereum Consensus Layer,Danny Ryan,https://blog.ethereum.org/2021/08/25/finalized-no-28/
PoS Consensus,01/09/2021,Ethereum 2.0 Knowledge Base,Unknown,https://kb.beaconcha.in/glossary
PoS Consensus,24/09/2021,What's New in Eth2,Ben Edgington,https://hackmd.io/@benjaminion/eth2_news/https%3A%2F%2Fhackmd.io%2F%40benjaminion%2Fwnie2_210924
PoS Consensus,01/10/2021,Ethereum Pos Consensus Spec Tests,Danny Ryan and Diederik Loerakker,https://github.com/ethereum/consensus-spec-tests
PoS Consensus,01/10/2021,Consensus Specs,Various,https://github.com/ethereum/consensus-specs
Secret Shared Validators,01/03/2020,Trustless staking pools with a consensus layer and slashed pool participant replacement,Alon Muroch,https://ethresear.ch/t/trustless-staking-pools-with-a-consensus-layer-and-slashed-pool-participant-replacement/7198
Secret Shared Validators,01/10/2020,Preventing ETH2 Validator Failure,"Aditya Asgaonkar, Carl Beekhuizen",https://notes.ethereum.org/@adiasg/preventing-eth2-validator-failure
Secret Shared Validators,22/12/2020,Decentralised and Trustless ETH2 staking pools,Alon Muroch,https://github.com/bloxapp/eth2-staking-pools-research
Secret Shared Validators,06/05/2021,Secret Shared Validator (SSV) - Phase 1 Testing Summary,Alon Muroch,https://medium.com/bloxstaking/secret-shared-validator-ssv-phase-1-testing-summary-5e3f5ab06083
Sharding,14/01/2017,Exploring Elliptic Curve Pairings,Vitalik Buterin,https://vitalik.ca/general/2017/01/14/exploring_ecp.html
Sharding,01/06/2018,1-bit aggregation-friendly custody bonds,Justin Drake,https://ethresear.ch/t/1-bit-aggregation-friendly-custody-bonds/2236
Sharding,25/05/2019,Fraud and Data Availability Proofs: Maximising Light Client Security and Scaling Blockchains with Dishonest Majorities,"Mustafa Al-Bassam, Alberto Sonnino, Vitalik Buterin",https://arxiv.org/abs/1809.09044
Sharding,08/06/2019,LazyLedger: A Distributed Data Availability Ledger with Client-Side Smart Contracts,Mustafa Al-Bassam,https://arxiv.org/abs/1905.09274
Sharding,01/10/2019,ETH2 Shard Chain Simplification Proposal,Vitalik Buterin,https://notes.ethereum.org/@vbuterin/HkiULaluS
Sharding,01/10/2019,The Eth1 -> Eth2 Transition,Vitalik Buterin,https://ethresear.ch/t/the-eth1-eth2-transition/6265
Sharding,01/12/2019,Alternative proposal for early eth1 <-> eth2 merge ,Vitalik Buterin,https://ethresear.ch/t/alternative-proposal-for-early-eth1-eth2-merge/6666
Sharding,01/01/2020,State Provider Models in Ethereum 2.0,Ansgar Dietrichs,https://ethresear.ch/t/state-provider-models-in-ethereum-2-0/6750
Sharding,01/05/2020,A 0.001 bit proof of custody,Dankrad Feist,https://ethresear.ch/t/a-0-001-bit-proof-of-custody/7409
Sharding,01/10/2020,A rollup-centric Ethereum roadmap,Vitalik Buterin,https://ethereum-magicians.org/t/a-rollup-centric-ethereum-roadmap/4698
Sharding,01/10/2020,A fee market contract for eth2 shards in eth1,Vitalik Buterin,https://ethresear.ch/t/a-fee-market-contract-for-eth2-shards-in-eth1/8124
Sharding,01/01/2021,Sharding FAQs,Various,https://eth.wiki/sharding/Sharding-FAQs
Sharding,01/02/2021,An explanation of the sharding + DAS proposal,Vitalik Buterin,https://hackmd.io/@vbuterin/sharding_proposal
Sharding,01/03/2021,Quick merge via fork choice change,Vitalik Buterin,https://notes.ethereum.org/m9IX3OkkTveXCCOSzGkUiw
Sharding,31/08/2021,Ethereum Annotated Spec,Vitalik Buterin,https://github.com/ethereum/annotated-spec
Sharding,01/09/2021,Data Availability Sampling Phase 1 Proposal,Vitalik Buterin,https://hackmd.io/G-Iy5jqyT7CXWEz8Ssos8g
Sharding,15/09/2021,Consensus Specs: Sharding,Anton Nashatyrev,https://github.com/ethereum/consensus-specs/tree/dev/specs/sharding
"Sharding, General",07/04/2021,Why sharding is great: demystifying the technical properties,Vitalik Buterin,https://vitalik.ca/general/2021/04/07/sharding.html
State Expiry,25/11/2015,EIP-103: Blockchain Rent,Vitalik Buterin,https://github.com/ethereum/EIPs/issues/35
State Expiry,01/10/2017,The Stateless Client Concept,Vitalik Buterin,https://ethresear.ch/t/the-stateless-client-concept/172
State Expiry,24/09/2019,Intro To Beam Sync,Jason Carver,https://medium.com/@jason.carver/intro-to-beam-sync-a0fd168be14a
State Expiry,10/12/2019,The 1.x Files: A Fast Sync,Griffin Ichiba Hotchkiss,https://blog.ethereum.org/2019/12/10/eth1x-files-fast-sync/
State Expiry,01/02/2020,The Data Availability Problem under Stateless Ethereum,Piper Merriam,https://ethresear.ch/t/the-data-availability-problem-under-stateless-ethereum/6973
State Expiry,01/06/2020,ReGenesis - Resetting Ethereum to reduce the burden of large blockchain and state,Alexey Akhunov,https://ethresear.ch/t/regenesis-resetting-ethereum-to-reduce-the-burden-of-large-blockchain-and-state/7582
State Expiry,28/06/2020,ReGenesis Explained,Igor Mandrigin,https://medium.com/@mandrigin/regenesis-explained-97540f457807
State Expiry,28/01/2021,"Complete revamp of the ""Stateless Ethereum"" roadmap",Piper Merriam,https://ethresear.ch/t/complete-revamp-of-the-stateless-ethereum-roadmap/8592
State Expiry,01/02/2021,Doing Stateless Ethereum Right,Piper Merriam,https://notes.ethereum.org/mSOAdx_XT02MEqrt0f2CPA#
State Expiry,12/02/2021,A Theory of Ethereum State Size Management,Vitalik Buterin,https://hackmd.io/@vbuterin/state_size_management
State Expiry,14/02/2021,Why it's so important to go stateless,Dankrad Feist,https://dankradfeist.de/ethereum/2021/02/14/why-stateless.html
State Expiry,22/02/2021,"Resurrection-conflict-minimized state bounding, take 2",Vitalik Buterin,https://ethresear.ch/t/resurrection-conflict-minimized-state-bounding-take-2/8739
State Expiry,01/03/2021,A few paths to statelessness and state expiry,Vitalik Buterin,https://hackmd.io/@vbuterin/state_expiry_paths
State Expiry,06/03/2021,Increasing address size from 20 to 32 bytes,Vitalik Buterin,https://ethereum-magicians.org/t/increasing-address-size-from-20-to-32-bytes/5485
State Expiry,30/03/2021,An updated roadmap for Stateless Ethereum,Piper Merriam,https://ethresear.ch/t/an-updated-roadmap-for-stateless-ethereum/9046
State Expiry,09/04/2021,Light Ethereum Subprotocol,Felix Lange,https://github.com/ethereum/devp2p/blob/master/caps/les.md
State Expiry,01/06/2021,A state expiry and statelessness roadmap,Piper Merriam,https://notes.ethereum.org/@vbuterin/verkle_and_state_expiry_proposal
State Expiry,01/06/2021,Simple Summary,Vitalik Buterin,https://notes.ethereum.org/@vbuterin/state_expiry_eip
State Expiry,29/06/2021,State Expiry and Statelessness in Review,Nicolas Laurent,https://github.com/tvanepps/EthereumDiscordGuidebook/blob/main/state-expiry/README.md
State Expiry,01/07/2021,ASE (Address Space Extension) with Translation Map,Alex Beregszaszi,https://notes.ethereum.org/@ipsilon/address-space-extension-exploration
"State Expiry, General",30/12/2019,The 1.x Files: The State of Stateless Ethereum,Griffin Ichiba Hotchkiss,https://blog.ethereum.org/2019/12/30/eth1x-files-state-of-stateless-ethereum/
"State Expiry, Portal Network",12/01/2021,The winding road to functional light clients - part 1,Piper Merriam,https://snakecharmers.ethereum.org/the-winding-road-to-functional-light-clients/
"State Expiry, Portal Network",14/01/2021,The winding road to functional light clients - part 2,Piper Merriam,https://snakecharmers.ethereum.org/the-winding-road-to-functional-light-clients-part-2/
"State Expiry, Portal Network",15/01/2021,The winding road to functional light clients - part 3,Piper Merriam,https://snakecharmers.ethereum.org/the-winding-road-to-functional-light-clients-part-3/
"State Expiry, Portal Network",30/01/2021,Alternative bounded-state-friendly address scheme,Vitalik Buterin,https://ethresear.ch/t/alternative-bounded-state-friendly-address-scheme/8602
"State Expiry, Verkle Trie Migration",01/01/2018,Verkle Trees,John Kuszmaul,https://math.mit.edu/research/highschool/primes/materials/2018/Kuszmaul.pdf
"State Expiry, Verkle Trie Migration",25/03/2021,Proposed Verkle tree scheme for Ethereum State,Vitalik Buterin,https://ethereum-magicians.org/t/proposed-verkle-tree-scheme-for-ethereum-state/5805
"State Expiry, Verkle Trie Migration",18/06/2021,Verkle trie for Eth1 state,Dankrad Feist,https://dankradfeist.de/ethereum/cryptography/2021/06/18/verkle-trie-for-eth1.html
"State Expiry, Verkle Trie Migration",18/06/2021,Verkle Trees,Vitalik Buterin,https://vitalik.ca/general/2021/06/18/verkle.html
"State Expiry, Witness",18/02/2021,Ethereum Witness Protocol,Felix Lange,https://github.com/ethereum/devp2p/blob/master/caps/wit.md
Sync,03/03/2021,Geth v1.10.1,Peter Szilagyi,https://blog.ethereum.org/2021/03/03/geth-v1-10-0/
Typed Transactions,13/09/2020,EIP-2976: Typed Transactions over Gossip,Micah Zoltu,https://eips.ethereum.org/EIPS/eip-2976
Typed Transactions,01/01/2021,SSZ & Typed Transactions,Piper Merriam,https://notes.ethereum.org/71-fSPtGRi-ab-npDf2oIA
Typed Transactions,01/01/2021,The Path to 2929,Micah Zoltu,https://notes.ethereum.org/kvDtI9BsS6qFdsLDY_YwpQ
Typed Transactions,01/01/2021,Typed Transactions,Micah Zoltu,https://notes.ethereum.org/Ck-KDLVaQgCHBMfeIhZTcQ
Typed Transactions,14/04/2021,Specify encoding of all consensus objects,Felix Lange,https://github.com/ethereum/devp2p/pull/177/files
Typed Transactions,07/07/2021,Add Transaction Type List,Tim Beiko,https://github.com/ethereum/execution-specs/pull/220/files
"Typed Transactions, Meta-Transactions",13/06/2020,EIP-2718: Typed Transaction Envelope,Micah Zoltu,https://eips.ethereum.org/EIPS/eip-2718
"Typed Transactions, Meta-Transactions",15/10/2020,AUTH and AUTHCALL Opcodes,"Sam Wilson, Ansgar Dietrichs, Matt Garnett, Micah Zoltu",https://github.com/ethereum/EIPs/blob/master/EIPS/eip-3074.md
Verkle Trie Migration,01/03/2020,Using polynomial commitments to replace state roots,Vitalik Buterin,https://ethresear.ch/t/using-polynomial-commitments-to-replace-state-roots/7095
Verkle Trie Migration,01/05/2020,Open problem: ideal vector commitment,Vitalik Buterin,https://ethresear.ch/t/open-problem-ideal-vector-commitment/7421
Verkle Trie Migration,01/06/2021,Witness Gas Cost Reform for Verkle Trees,Vitalik Buterin,https://notes.ethereum.org/@vbuterin/witness_gas_cost_2
Verkle Trie Migration,01/06/2021,Gas Costs for code chunk access (outdated),Vitalik Buterin,https://notes.ethereum.org/@vbuterin/code_chunk_gas_cost
Verkle Trie Migration,15/09/2021,Verkle Tree EIP,Vitalik Buterin,https://notes.ethereum.org/@vbuterin/verkle_tree_eip#Verkle-tree-definition
Withdrawal Methods,01/11/2020,Dirt Simple Withdrawal Contract,Jeff Coleman,https://ethresear.ch/t/dirt-simple-withdrawal-contract/8218
Withdrawal Methods,01/11/2020,Simple ETH1 Withdrawals (Beacon chain centric),Danny Ryan,https://ethresear.ch/t/simple-eth1-withdrawals-beacon-chain-centric/8256
Withdrawal Methods,01/11/2020,Simple Transfers of Excess Balance,Jim McDonald,https://ethresear.ch/t/simple-transfers-of-excess-balance/8263
Withdrawal Methods,01/12/2020,Make Validator Withdrawals Great,Zilm,https://ethresear.ch/t/make-validator-withdrawals-great/8334
Withdrawal Methods,16/02/2021,ETH1 Withdrawal Credentials,Danny Ryan,https://github.com/ethereum/consensus-specs/pull/2149
Withdrawal Methods,21/02/2021,Withdrawal credential rotation from BLS to ETH1,Vasiliy Shapovalov,https://ethresear.ch/t/withdrawal-credential-rotation-from-bls-to-eth1/8722
Witness,01/12/2019,Protocol Changes to Bound Witness Size,Vitalik Buterin,https://ethereum-magicians.org/t/protocol-changes-to-bound-witness-size/3885
Witness,01/04/2020,The curious case of BLOCKHASH and Stateless Ethereum,Alex Beregszaszi,https://ethresear.ch/t/the-curious-case-of-blockhash-and-stateless-ethereum/7304
Witness,30/04/2020,Block Witness Formal Specification,Igor Mandrigin,https://github.com/ethereum/portal-network-specs/blob/change-goals-structure/witness.md
Witness,14/07/2020,KV-Witness,Igor Mandrigin,https://medium.com/@mandrigin/kv-witness-8985168537f9
Witness,03/08/2020,Eth Witness Experiments,Paul D,https://github.com/poemm/eth_witness_experiments
Witness,01/10/2020,Ethereum block witness format (outdated),Paul D,https://notes.ethereum.org/dfeV_C-pSI2h378AadR9DQ?view
Witness,01/10/2020,The Formal Witness Spec: An Illustrated Primer,Griffin Ichiba Hotchkiss,https://notes.ethereum.org/bjRBM5IxQQOgqp7bez15xQ
Witness,01/10/2020,Adapting Pointproofs for Witness Compression,Raghavendra,https://hackmd.io/jYZoAiK2THq50EvI6lGhMw?view
Witness,01/12/2020,Splitting Witnesses into Two Parts,Viktor Kirilov,https://ethresear.ch/t/splitting-witnesses-into-2-parts/8357